Names,EmailAddress
Marissa,sunny_c7@yahoo.com
Agnes,sunny_c7@yahoo.com
Matt,sunny_c7@yahoo.com
Josh,sunny_c7@yahoo.com
Robin,sunny_c7@yahoo.com
Adam,sunny_c7@yahoo.com
Bezen,sunny_c7@yahoo.com
Avi,sunny_c7@yahoo.com
Tom,sunny_c7@yahoo.com
Hazem,sunny_c7@yahoo.com
Pilar,sunny_c7@yahoo.com
Terry,sunny_c7@yahoo.com
Amy,sunny_c7@yahoo.com
Greg,sunny_c7@yahoo.com
Pamela,sunny_c7@yahoo.com
Julie,sunny_c7@yahoo.com
David,sunny_c7@yahoo.com
Robert,sunny_c7@yahoo.com
Sunny,sunny.chakraborty@aberdeen-asset.com
